YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,ITEMS,TOTAL_QUANTITY,NIC
202101,0401030H0,Butobarbital,8.0,624.0,1229.7
202101,0401030T0,Secobarbital sodium,51.0,2911.0,6410.14
202101,040201010,Zuclopenthixol acetate,12.0,48.0,232.4
202101,040201030,Risperidone,147055.0,5257080.0,517190.2
202101,040201060,Olanzapine,213936.0,5015108.0,800456.3
202101,0402010A0,Amisulpride,33203.0,1236562.0,276662.53
202101,0402010AB,Quetiapine,339424.0,12163046.0,2625289.67
202101,0402010AD,Aripiprazole,117738.0,3287963.0,581080.19
202101,0402010AE,Paliperidone,252.0,6449.0,23974.3
202101,0402010AI,Lurasidone,2569.0,66862.0,216632.88
202101,0402010AJ,Cariprazine,149.0,3996.0,11468.52
202101,0402010B0,Benperidol,322.0,16323.0,29194.85
202101,0402010C0,Clozapine,288.0,20775.0,12553.89
202101,0402010D0,Chlorpromazine hydrochloride,19275.0,1040361.0,506912.14
202101,0402010H0,Flupentixol hydrochloride,2777.0,121312.0,16889.079999999998
202101,0402010I0,Fluphenazine hydrochloride,4.0,238.0,316.99
202101,0402010J0,Haloperidol,29096.0,970075.0,1376493.4
202101,0402010K0,Levomepromazine maleate,2935.0,119726.0,85232.82
202101,0402010L0,Levomepromazine hydrochloride,12809.0,98040.0,197378.64
202101,0402010P0,Pericyazine,4978.0,288047.0,123742.17
202101,0402010Q0,Perphenazine,16.0,982.0,2683.87
202101,0402010R0,Pimozide,298.0,10573.0,4546.93
202101,0402010S0,Promazine hydrochloride,9953.0,2027271.0,598940.2999999999
202101,0402010T0,Zuclopenthixol hydrochloride,7273.0,808400.0,62423.31999999999
202101,0402010U0,Sulpiride,8184.0,520104.0,207384.12
202101,0402010W0,Thioridazine,4.0,522.0,1192.95
202101,0402010X0,Trifluoperazine,2759.0,556237.0,142999.91
202101,0402020AA,Risperidone,1000.0,1738.0,199469.4
202101,0402020AB,Paliperidone,1217.0,1391.0,500521.99
202101,0402020AC,Olanzapine embonate,36.0,66.0,14913.4
