YEAR_MONTH,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,PREP_CLASS,PRESCRIBED_PREP_CLASS,ITEMS,NIC
202602,0906040B0,Alfacalcidol,05,05,26.0,160.03
202602,0906040C0,Calcitriol,01,01,2665.0,31660.17
202602,0906040C0,Calcitriol,03,03,123.0,1847.07
202602,0906040C0,Calcitriol,05,05,4.0,278.51
202602,0906040G0,Colecalciferol,01,01,583867.0,2613046.73
202602,0906040G0,Colecalciferol,03,01,11764.0,84913.13
202602,0906040G0,Colecalciferol,03,02,109848.0,610747.92
202602,0906040G0,Colecalciferol,03,03,1609205.0,6451846.21
202602,0906040G0,Colecalciferol,05,01,304.0,4223.1
202602,0906040G0,Colecalciferol,05,05,1280.0,127378.66
202602,0906040N0,Ergocalciferol,01,01,1722.0,13035.61
202602,0906040N0,Ergocalciferol,03,01,125.0,1968.89
202602,0906040N0,Ergocalciferol,03,02,1004.0,5234.27
202602,0906040N0,Ergocalciferol,03,03,338.0,2752.79
202602,0906040N0,Ergocalciferol,05,05,64.0,4355.68
202602,0906040P0,Paricalcitol,03,02,11.0,798.56
202602,0906040P0,Paricalcitol,03,03,3.0,178.56
202602,0906040Q0,Calcifediol,03,02,48.0,153.23
202602,0906040Q0,Calcifediol,03,03,74.0,338.29999999999995
202602,0906050P0,Vitamin E,03,01,971.0,20942.52
202602,0906050P0,Vitamin E,03,02,207.0,4556.89
