YEAR_MONTH,BNF_CHAPTER_CODE,BNF_CHAPTER,ITEMS,TOTAL_QUANTITY,NIC
202202,12,"Ear, Nose and Oropharynx",819405.0,20857175.3,5694877.97
202202,13,Skin,2067865.0,366517792.0,19804403.56
202202,14,Immunological Products and Vaccines,347492.0,348113.0,3892946.21
202202,15,Anaesthesia,127928.0,11777955.5,1701661.55
202202,18,Preparations used in Diagnosis,10.0,8700.0,1522.5
202202,19,Other Drugs and Preparations,72348.0,46167362.0,1942088.3
202202,2,Cardiovascular System,26014315.0,919671050.0,122999143.19
202202,20,Dressings,422771.0,11334917.5,12280038.72
202202,21,Appliances,2625810.0,486251387.5,44773976.94
202202,22,Incontinence Appliances,184453.0,3471800.0,4697165.42
202202,23,Stoma Appliances,523381.0,48522664.1,28810453.82
202202,3,Respiratory System,5599384.0,111027413.0,81663142.63
202202,4,Central Nervous System,17437547.0,1206960766.7,111136659.99
202202,5,Infections,2957813.0,112475616.0,14477524.09
202202,6,Endocrine System,9354781.0,460774578.0,121950389.12
202202,7,"Obstetrics, Gynaecology and Urinary-Tract Disorders",2480808.0,105344492.0,18761772.37
202202,8,Malignant Disease and Immunosuppression,352731.0,14373276.0,12642889.44
202202,9,Nutrition and Blood,4954069.0,2514942883.5,57093709.0
202203,1,Gastro-Intestinal System,9435025.0,732753283.0,53891483.13
202203,10,Musculoskeletal and Joint Diseases,2671873.0,175886098.0,12293563.02
202203,11,Eye,1388525.0,23096186.0,13460616.97
202203,12,"Ear, Nose and Oropharynx",963226.0,23899663.8,6673692.380000001
202203,13,Skin,2376489.0,420107890.5,22906650.42
202203,14,Immunological Products and Vaccines,339765.0,340595.0,3902431.08
202203,15,Anaesthesia,142298.0,12984960.0,1909908.95
202203,18,Preparations used in Diagnosis,8.0,5300.0,927.5
202203,19,Other Drugs and Preparations,81614.0,52526215.0,2149675.5500000003
202203,2,Cardiovascular System,29410350.0,1043197280.0,139462362.67
202203,20,Dressings,490270.0,13328861.6,14255549.66
202203,21,Appliances,2997372.0,560764814.0,50579886.83
202203,22,Incontinence Appliances,209780.0,3969143.0,5322234.49
202203,23,Stoma Appliances,606285.0,56172811.400000006,33678125.370000005
202203,3,Respiratory System,6456764.0,131833936.0,93942150.33
202203,4,Central Nervous System,19724568.0,1367013607.6,126425039.92
202203,5,Infections,3471460.0,134504482.5,16495295.79
202203,6,Endocrine System,10625893.0,522011871.0,140732410.75
