YEAR_MONTH,ORG_CODE,ORG_NAME,ITEMS,TOTAL_QUANTITY,NIC
202107,QHM,CUMBRIA & NORTH EAST STP,6817687.0,428484090.71,46175874.76
202107,QJ2,JOINED UP CARE DERBYSHIRE STP,1638236.0,129439931.3,13208166.95
202107,QJG,SUFFOLK & NORTH EAST ESSEX STP,1927522.0,119182798.3,14691010.05
202107,QJK,DEVON STP,2115773.0,155341850.31,17023598.17
202107,QJM,LINCOLNSHIRE STP,1807767.0,112545023.81,12460826.75
202107,QK1,"LEICESTER, LEICESTERSHIRE & RUTLAND STP",1839002.0,138596096.5,14341643.0
202107,QKK,OUR HEALTHIER SOUTH EAST LONDON STP,1981709.0,166557660.9,17387698.490000002
202107,QKS,KENT & MEDWAY STP,2855689.0,464379174.1,29121983.33
202107,QM7,HERTFORDSHIRE & WEST ESSEX STP,2274302.0,154838913.5,17939198.22
202107,QMF,EAST LONDON HEALTH & CARE P/SHIP STP,2700619.0,225108448.6,20831681.0
202107,QMJ,NORTH LONDON PARTNERS IN H&C STP,1736988.0,150337595.39999998,14804795.56
202107,QMM,NORFOLK & WAVENEY H&C PARTNERSHIP STP,2068383.0,136985792.3,15096729.79
202107,QNC,STAFFORDSHIRE & STOKE ON TRENT STP,2245936.0,186463576.0,19955534.28
202107,QNQ,FRIMLEY HEALTH & CARE ICS STP,925267.0,72834470.3,8423372.14
202107,QNX,SUSSEX & EAST SURREY STP,2692700.0,189730954.4,26048156.89
202107,QOC,SHROPSHIRE & TELFORD & WREKIN STP,793276.0,59132265.0,7314031.75
202107,QOP,GREATER MANCHESTER HSC PARTNERSHIP STP,5440292.0,460236424.7000001,48935141.54000001
202107,QOQ,"HUMBER, COAST & VALE STP",3269590.0,227598044.2,24789409.15
202107,QOX,"BATH & NE SOMERSET, SWINDON & WILTS STP",1449295.0,101319343.4,11017787.76
202107,QPM,NORTHAMPTONSHIRE STP,1319797.0,78922591.1,9341501.54
202107,QR1,GLOUCESTERSHIRE STP,1077740.0,59266503.5,9628354.19
202107,QRL,HAMPSHIRE & THE ISLE OF WIGHT STP,2585981.0,209042107.5,24469745.75
202107,QRV,NW LONDON HEALTH & CARE PARTNERSHIP STP,3603225.0,267072346.3,28595096.79
202107,QSL,SOMERSET STP,920056.0,64342396.6,7844123.72
202107,QT1,NOTTINGHAM & NOTTINGHAMSHIRE H&C STP,1748304.0,129452115.8,17250511.69
202107,QT6,CORNWALL & SCILLY ISLES HSC P/SHIP STP,1110474.0,69469753.3,8239205.77
202107,QU9,"BUCKS, OXFORDSHIRE & BERKSHIRE WEST STP",2277626.0,164410886.3,21484554.13
202107,QUA,THE BLACK COUNTRY & WEST BIRMINGHAM STP,2343968.0,219442450.4,20932163.82
202107,QUE,CAMBRIDGESHIRE & PETERBOROUGH STP,1708739.0,109655645.9,26718064.700000003
202107,QUY,"BRISTOL, N SOMERSET & S GLOUCS STP",1368544.0,105113380.1,11453763.86
